Name,Adv,Rem,Mod,Neg,Pro,Sum
Abominable Unchained Soul,,1,,,,1
Abyss Actor - Sassy Rookie,,1,,,1,1
Abyss Keeper,,1,,,,1
"Alpha, the Master of Beasts",,1,,,,1
Amazement Administrator Arlekino,,1,,,,1
Amphibious Swarmship Amblowhale,,1,1,,,1
"Amunessia, the Ogdoadic Queen",,1,,,,1
Ancient Warriors - Fearsome Zhang Yuan,,1,1,,1,1
Ancient Warriors - Loyal Guan Yun,,1,,,1,1
Ancient Warriors - Rebellious Lu Feng,,1,,,,1
Antihuman Intelligence ME-PSY-YA,,1,,,,1
Arcana Triumph Joker,,1,1,,,1
Archnemeses Eschatos,,1,,,1,1
Archnemeses Protos,,1,,,1,1
Arkbrave Dragon,,1,1,,,1
Armed Dragon Catapult Cannon,,1,,,,1
Armed Dragon LV10 White,1,1,,,,1
Artifact Moralltach,,1,,,,1
"Askaan, the Bicorned Ghoti",,1,,,,1
Atlantean Heavy Infantry,,1,,,,1
Atlantean Marksman,,1,,,,1
Autorokket Dragon,,1,,,,1
"Avida, Rebuilder of Worlds",,1,,,,1
Awakening of the Possessed - Rasenryu,1,1,,,,1
Backlinker,,1,,,,1
Baronne de Fleur,,1,,1,,1
"Baxia, Brightness of the Yang Zing",,1,,,,1
Beetrooper Scale Bomber,,1,,,,1
Benghalancer the Resurgent,,1,,,,1
Berserkion the Electromagna Warrior,,1,,,,1
Black Luster Soldier - Envoy of the Evening Twilight,,1,,,,1
Blackwing - Zonda the Dusk,,1,,,,1
Black-Winged Assault Dragon,,1,,,,1
"Blaster, Dragon Ruler of Infernos",1,1,,,,1
Blue-Eyes Alternative White Dragon,,1,,,,1
Blue-Eyes Jet Dragon,,1,,,1,1
Blue-Eyes Twin Burst Dragon,,1,,,1,1
Boot-Up Admiral - Destroyer Dynamo,,1,,,1,1
Borrelcode Dragon,,1,,,1,1
Borreload Furious Dragon,,1,,,,1
Bujinki Ahashima,,1,,,,1
Bystial Druiswurm,,1,,,,1
"Calcab, Malebranche of the Burning Abyss",,1,,,,1
Centaur Mina,,1,,1,,1
Cerulean Sacred Phoenix of Nephthys,,1,,,,1
Chaos Daedalus,,1,,,1,1
Chaos Dragon Levianeer,,1,,,,1
"Chaos Emperor, the Dragon of Armageddon",1,1,,,,1
Chaos Nephthys,,1,,,,1
Clock Arc,,1,1,,1,1
Codebreaker Virus Berserker,,1,,,,1
Constellar Caduceus,1,1,,,,1
Constellar Ptolemy M7,,1,,,,1
Crusadia Reclusia,,1,,,,1
Crystron Phoenix,,1,,,,1
Crystron Quariongandrax,,1,,,,1
Curse Necrofear,,1,,,,1
Curse of Dragonfire,,1,,,,1
Cyber Angel Natasha,,1,,1,,1
Cyber Dragon Infinity,,1,1,1,,1
Divine Arsenal AA-ZEUS - Sky Thunder,,1,,,,1
Doomking Balerdroch,,1,,1,,1
Greedy Venom Fusion Dragon,,1,1,1,,1
Marincess Aqua Argonaut,,1,,1,,1
"Ogdoabyss, the Ogdoadic Overlord",,1,,,,1
Red Supernova Dragon,,1,1,,1,1
Tearlaments Kaleido-Heart,,1,,,,1
The Iris Swordsoul,1,1,,,,1
Thunder Dragon Titan,,1,,,1,1
Trias Hierarchia,1,1,,,,1
Witchcrafter Vice-Madame,1,1,,,,1
World Gears of Theurlogical Demiurgy,,1,,,1,1
Absorbing Jar,1,1,,,,
Accesscode Talker,,1,1,,,
Adamancipator Risen - Dragite,,1,,1,,
Aegaion the Sea Castrum,,1,1,,,
"Aether, the Empowering Dragon",,1,,,,
"Aether, the Evil Empowering Dragon",,1,,,,
